x,y,vx,vy,timestamp
100,100,0,0,0.429
100,100,0,0,0.489
100,100,0,0,0.517
100,100,0,0,0.55
100,100,0,0,0.577
100,100,0,0,0.604
100,100,0,0,0.631
100,100,0,0,0.659
100,100,0,0,0.686
100,100,0,0,0.713
100,100,0,0,0.741
100,100,0,0,0.769
100,100,0,0,0.796
100,100,0,0,0.823
100,100,0,0,0.85
100,100,0,0,0.878
103,100,200,0,0.905
106,100,200,0,0.932
109,100,200,0,0.959
112,100,200,0,0.987
115,100,200,0,1.016
118,100,200,0,1.043
121,100,200,0,1.07
124,100,200,0,1.098
127,100,200,0,1.126
130,100,200,0,1.153
133,100,200,0,1.181
136,100,200,0,1.211
139,100,200,0,1.239
142,100,200,0,1.269
145,100,200,0,1.299
148,100,200,0,1.328
151,100,200,0,1.358
154,100,200,0,1.387
157,100,200,0,1.416
160,100,200,0,1.444
163,100,200,0,1.473
166,100,200,0,1.5
169,100,200,0,1.528
172,100,200,0,1.555
175,100,200,0,1.583
178,100,200,0,1.611
181,100,200,0,1.638
184,100,200,0,1.666
187,100,200,0,1.694
190,100,200,0,1.721
193,100,200,0,1.749
196,100,200,0,1.776
199,100,200,0,1.804
202,100,200,0,1.832
205,100,200,0,1.859
208,100,200,0,1.887
211,100,200,0,1.914
214,100,200,0,1.942
217,100,200,0,1.969
220,100,200,0,1.997
223,100,200,0,2.022
226,100,200,0,2.049
229,100,200,0,2.078
232,100,200,0,2.107
235,100,200,0,2.135
238,100,200,0,2.162
241,100,200,0,2.191
244,100,200,0,2.218
247,100,200,0,2.246
250,100,200,0,2.274
253,100,200,0,2.301
256,100,200,0,2.328
259,100,200,0,2.356
262,100,200,0,2.383
265,100,200,0,2.411
268,100,200,0,2.438
271,100,200,0,2.465
274,100,200,0,2.493
277,100,200,0,2.523
280,100,200,0,2.553
283,100,200,0,2.582
286,100,200,0,2.611
289,100,200,0,2.64
292,100,200,0,2.67
295,100,200,0,2.699
298,100,200,0,2.729
301,100,200,0,2.758
304,100,200,0,2.787
307,100,200,0,2.816
310,100,200,0,2.847
313,100,200,0,2.876
316,100,200,0,2.905
319,100,200,0,2.934
322,100,200,0,2.964
325,100,200,0,2.993
328,100,200,0,3.021
331,100,200,0,3.05
334,100,200,0,3.079
337,100,200,0,3.108
340,100,200,0,3.137
343,100,200,0,3.166
346,100,200,0,3.195
349,100,200,0,3.224
352,100,200,0,3.252
355,100,200,0,3.281
358,100,200,0,3.31
361,100,200,0,3.338
364,100,200,0,3.367
367,100,200,0,3.398
370,100,200,0,3.428
373,100,200,0,3.457
376,100,200,0,3.486
379,100,200,0,3.514
382,100,200,0,3.544
385,100,200,0,3.573
388,100,200,0,3.602
391,100,200,0,3.631
394,100,200,0,3.661
397,100,200,0,3.691
400,100,200,0,3.723
403,100,200,0,3.752
406,100,200,0,3.781
409,100,200,0,3.81
412,100,200,0,3.838
415,100,200,0,3.867
418,100,200,0,3.896
421,100,200,0,3.925
424,100,200,0,3.954
427,100,200,0,3.989
430,100,200,0,4.019
433,100,200,0,4.048
436,100,200,0,4.078
439,100,200,0,4.107
442,100,200,0,4.137
445,100,200,0,4.166
448,100,200,0,4.196
451,100,200,0,4.225
454,100,200,0,4.255
457,100,200,0,4.286
460,103,200,200,4.315
463,106,200,200,4.345
466,109,200,200,4.377
469,112,200,200,4.408
472,115,200,200,4.437
475,118,200,200,4.467
475,121,0,200,4.496
472,124,-200,200,4.525
469,124,-200,0,4.554
466,124,-200,0,4.584
463,124,-200,0,4.613
460,124,-200,0,4.644
457,124,-200,0,4.68
454,124,-200,0,4.71
451,124,-200,0,4.741
448,121,-200,-200,4.77
445,118,-200,-200,4.798
442,115,-200,-200,4.827
439,112,-200,-200,4.854
436,109,-200,-200,4.883
433,106,-200,-200,4.91
433,103,0,-200,4.938
433,100,0,-200,4.966
436,100,200,0,4.994
439,100,200,0,5.021
442,100,200,0,5.048
445,100,200,0,5.076
448,100,200,0,5.104
451,100,200,0,5.131
454,100,200,0,5.159
457,100,200,0,5.186
460,100,200,0,5.214
463,100,200,0,5.242
466,100,200,0,5.269
469,100,200,0,5.298
472,100,200,0,5.326
475,100,200,0,5.353
478,100,200,0,5.381
481,100,200,0,5.409
484,100,200,0,5.437
487,100,200,0,5.466
490,100,200,0,5.494
493,103,200,200,5.523
496,106,200,200,5.55
499,109,200,200,5.577
502,112,200,200,5.605
505,115,200,200,5.633
508,118,200,200,5.66
511,121,200,200,5.69
514,124,200,200,5.718
517,127,200,200,5.748
520,130,200,200,5.777
523,133,200,200,5.807
526,136,200,200,5.837
529,136,200,0,5.867
532,136,200,0,5.897
535,136,200,0,5.927
538,139,200,200,5.957
541,142,200,200,5.999
544,145,200,200,6.032
547,148,200,200,6.061
550,151,200,200,6.091
553,154,200,200,6.12
556,157,200,200,6.15
